page,row_num,dept,policy,unit,detail,label,item,calc,basis,budget,prev,diff,indent
1,10,기획감사담당관,,,,,,,,"35,665,400","22,961,640","12,703,760",0
1,11,,,,,,,,,"도            208,321",,,6
1,12,,,,,,,,,"군         35,457,079",,,6
1,13,,군정발전 전략 추진(일반공공행정/일반행정),,,,,,,"818,893","490,910","327,983",1
1,14,,,,,,,,,"도             80,000",,,6
1,15,,,,,,,,,"군            738,893",,,6
1,16,,,군정 종합기획 조정 및 평가,,,,,,"738,893","436,910","301,983",2
1,17,,,,,,,,,"도             80,000",,,6
1,18,,,,,,,,,"군            658,893",,,6
1,19,,,,군정 종합기획 및 조정,,,,,"183,150","163,650","19,500",3
1,20,,,,,,201 일반운영비,,,"126,050","85,950","40,100",5
1,21,,,,,,,01 사무관리비,,"111,050","70,950","40,100",6
1,22,,,,,,,본예산,,"111,050","70,950","40,100",6
1,23,,,,,,,◎일반수용비,,"97,700",,,6
1,24,,,,,,,○정책기획업무추진 기본수용비,"5,000,000원","5,000",,,6
1,25,,,,,,,○군정업무보고자료 제작,"5,000,000원*3회","15,000",,,6
1,26,,,,,,,○의회업무보고자료 제작,"5,000,000원*3회","15,000",,,6
1,27,,,,,,,○행정사무감사자료 제작,"7,000,000원","7,000",,,6
1,28,,,,,,,○정례(임시)회 조례안 책자 제작,"3,000,000원","3,000",,,6
1,29,,,,,,,○각종 현안 및 사업자료 제작,"10,000,000원","10,000",,,6
1,30,,,,,,,○적극행정 우수공무원 심사자료 및 카       드뉴스 제작,"450,000원*2회",900,,,6
1,31,,,,,,,○성과관리 및 적극행정 교육자료 제작,"600,000원*3회","1,800",,,6
1,32,,,,,,,○군정백서 제작(정책성과 자료집),"40,000,000원","40,000",,,6
1,33,,,,,,,◎운영수당,,"9,300",,,6
1,34,,,,,,,○군정자문단 참석수당,"100,000원*15명*3회","4,500",,,6
1,35,,,,,,,○적극행정위원회 참석수당,"150,000원*7명*2회","2,100",,,6
1,36,,,,,,,○제안심사위원회 참석수당,"100,000원*7명",700,,,6
1,37,,,,,,,○정부혁신 교육 강사료,"800,000원*1회",800,,,6
1,38,,,,,,,○출자ㆍ출연기관 운영심의위원회 참석       수당,"100,000원*6명*2회","1,200",,,6
1,39,,,,,,,◎정책기획 업무추진 특근자 급식,"9,000원*5명*90일","4,050",,,6
1,40,,,,,,,02 공공운영비,,"15,000","15,000",0,6
1,41,,,,,,,본예산,,"15,000","15,000",0,6
1,42,,,,,,,◎목표관리프로그램 기능개선ㆍ유지보수,"15,000,000원","15,000",,,6
1,43,,,,,,202 여비,,,"9,600","7,200","2,400",5
1,45,,,,,,,01 국내여비,,"9,600","7,200","2,400",6
2,10,,,,,,,◎기본업무추진,"100,000원*6명*12월","7,200",,,6
2,11,,,,,,,◎관외출장,"100,000원*2명*12월","2,400",,,6
2,12,,,,,,203 업무추진비,,,"7,500","7,500",0,5
2,13,,,,,,,03 시책추진업무추진비,,"7,500","7,500",0,6
2,14,,,,,,,본예산,,"7,500","7,500",0,6
2,15,,,,,,,◎군정기획 및 정책개발 업무,"4,500,000원","4,500",,,6
2,16,,,,,,,◎군정조정 업무,"3,000,000원","3,000",,,6
2,17,,,,,,207 연구개발비,,,"20,000","18,000","2,000",5
2,18,,,,,,,01 연구용역비,,"20,000","18,000","2,000",6
2,19,,,,,,,본예산,,"20,000","18,000","2,000",6
2,20,,,,,,,◎출자출연기관 경영실적평가,"20,000,000원","20,000",,,6
2,21,,,,,,307 민간이전,,,"20,000","45,000","△25,000",5
2,22,,,,,,,04 민간행사사업보조,,"20,000","20,000",0,6
2,23,,,,,,,본예산,,"20,000","20,000",0,6
2,24,,,,,,,◎군민공감 정책토론회 및 지역발전포럼,"20,000,000원","20,000",,,6
2,25,,,,군정 주요업무 평가,,,,,"63,100","62,000","1,100",3
2,26,,,,,,201 일반운영비,,,"8,100","7,000","1,100",5
2,27,,,,,,,01 사무관리비,,"8,100","7,000","1,100",6
2,28,,,,,,,본예산,,"8,100","7,000","1,100",6
2,29,,,,,,,◎평가계획서 및 보고자료 제작,"280,000원*10회","2,800",,,6
2,30,,,,,,,◎운영수당,,"5,300",,,6
2,31,,,,,,,○평가위원회 참석수당,"100,000원*7명*2회","1,400",,,6
2,32,,,,,,,○평가담당자 역량강화 교육 강사료,"1,300,000원*3회","3,900",,,6
2,33,,,,,,303 포상금,,,"55,000","55,000",0,5
2,34,,,,,,,01 포상금,,"55,000","55,000",0,6
2,35,,,,,,,본예산,,"55,000","55,000",0,6
2,36,,,,,,,◎성과포상제 운영,"55,000,000원","55,000",,,6
2,37,,,,군민 아이디어 공모,,,,,"8,260","6,260","2,000",3
2,38,,,,,,201 일반운영비,,,"1,260","1,260",0,5
2,39,,,,,,,01 사무관리비,,"1,260","1,260",0,6
2,40,,,,,,,본예산,,"1,260","1,260",0,6
2,41,,,,,,,◎일반수용비,,"1,260",,,6
2,42,,,,,,,○아이디어 제안 홍보물 제작,"10,000원*100부","1,000",,,6
2,43,,,,,,,○아이디어 우수제안 상장 제작,"20,000원*13명",260,,,6
2,44,,,,,,301 일반보전금,,,"5,000","3,000","2,000",5
2,45,,,,,,,14 기타보상금,,"5,000","3,000","2,000",6
2,47,,,,,,,본예산,,"5,000","3,000","2,000",6
3,10,,,,,,303 포상금,,,"2,000","2,000",0,5
3,11,,,,,,,01 포상금,,"2,000","2,000",0,6
3,12,,,,,,,본예산,,"2,000","2,000",0,6
3,13,,,,,,,◎제안활성화 기여,"200,000원*10명","2,000",,,6
3,14,,,,군정 종합기획 및 조정(이전재원),,,,,"240,000","205,000","35,000",3
3,15,,,,,,307 민간이전,,,"150,000",0,"150,000",5
3,16,,,,,,,02 민간경상사업보조,,"150,000",0,"150,000",6
3,17,,,,,,,본예산,,"150,000",0,"150,000",6
3,18,,,,,,,◎충남RISE 지원(혜전대학교),,"150,000",,,6
3,19,,,,,,308 자치단체등이전,,,"90,000",0,"90,000",5
3,20,,,,,,,09 지역대학에 대한 경상보조,,"90,000",0,"90,000",6
3,21,,,,,,,본예산,,"90,000",0,"90,000",6
3,22,,,,,,,◎충남RISE 지원(청운대학교),,"90,000",,,6
3,23,,,,지속가능발전 정책 추진,,,,,"69,383",0,"69,383",3
3,24,,,,,,307 민간이전,,,"69,383",0,"69,383",5
3,25,,,,,,,02 민간경상사업보조,,"25,000",0,"25,000",6
3,26,,,,,,,본예산,,"25,000",0,"25,000",6
3,27,,,,,,,◎홍성군지속가능발전협의회 사업지원,"25,000,000원","25,000",,,6
3,28,,,,,,,03 민간단체법정운영비보조,,"44,383",0,"44,383",6
3,29,,,,,,,본예산,,"44,383",0,"44,383",6
3,30,,,,,,,◎홍성군 지속가능발전협의회 운영 지원,"44,383,000원","44,383",,,6
3,31,,,,지역대학교 교육환경 개선,,,,,"175,000",0,"175,000",3
3,32,,,,,,,,,"도             80,000",,,6
3,33,,,,,,,,,"군             95,000",,,6
3,34,,,,,,402 민간자본이전,,,"80,000",0,"80,000",5
3,35,,,,,,,,,"도             40,000",,,6
3,36,,,,,,,,,"군             40,000",,,6
3,37,,,,,,,02 민간자본사업보조(이전재원),,"80,000",0,"80,000",6
3,38,,,,,,,,,"도             40,000",,,6
3,39,,,,,,,,,"군             40,000",,,6
3,40,,,,,,,본예산,,"80,000",0,"80,000",6
3,41,,,,,,,,,"도             40,000",,,6
3,42,,,,,,,,,"군             40,000",,,6
3,43,,,,,,,◎혜전대학교 군민 커뮤니티 센터 구축,"80,000,000원","80,000",,,6
3,44,,,,,,,,,"도             40,000",,,6
3,45,,,,,,,,,"군             40,000",,,6
3,46,,,,,,403 자치단체등자본이전,,,"95,000",0,"95,000",5
3,47,,,,,,,,,"도             40,000",,,6
3,48,,,,,,,,,"군             55,000",,,6
3,50,,,,,,,04 지역대학에 대한 자본보조,,"95,000",0,"95,000",6
4,10,,,,,,,,,"군             55,000",,,6
4,11,,,,,,,본예산,,"95,000",0,"95,000",6
4,12,,,,,,,,,"도             40,000",,,6
4,13,,,,,,,,,"군             55,000",,,6
4,14,,,,,,,◎청운대학교 야외음악당 개선 사업,"80,000,000원","80,000",,,6
4,15,,,,,,,,,"도             40,000",,,6
4,16,,,,,,,,,"군             40,000",,,6
4,17,,,,,,,◎지역대학교 체력단련실 개선,"15,000,000원","15,000",,,6
4,18,,,국제화 기반 구축,,,,,,"80,000","54,000","26,000",2
4,19,,,,국제 자매도시 결연 및 교류협력 증진,,,,,"80,000","54,000","26,000",3
4,20,,,,,,201 일반운영비,,,"43,000","28,000","15,000",5
4,21,,,,,,,01 사무관리비,,"22,000","12,000","10,000",6
4,22,,,,,,,본예산,,"22,000","12,000","10,000",6
4,23,,,,,,,◎국제교류업무추진 일반수용비,"10,000,000원","10,000",,,6
4,24,,,,,,,◎국제교류 외국어 통·번역비,"12,000,000원","12,000",,,6
4,25,,,,,,,02 공공운영비,,"6,000","6,000",0,6
4,26,,,,,,,본예산,,"6,000","6,000",0,6
4,27,,,,,,,◎국제화사업 분담금(시도지사협의회),"5,000,000원","5,000",,,6
4,28,,,,,,,◎국제교류 우편요금,"1,000,000원","1,000",,,6
4,29,,,,,,,03 행사운영비,,"15,000","10,000","5,000",6
4,30,,,,,,,본예산,,"15,000","10,000","5,000",6
4,31,,,,,,,◎국제 우호도시 교류 행사,"15,000,000원","15,000",,,6
4,32,,,,,,202 여비,,,"25,000","13,000","12,000",5
4,33,,,,,,,03 국외업무여비,,"25,000","13,000","12,000",6
4,34,,,,,,,본예산,,"25,000","13,000","12,000",6
4,35,,,,,,,◎국제교류 업무추진 여비(공무원),"25,000,000원","25,000",,,6
4,36,,,,,,203 업무추진비,,,"1,000",0,"1,000",5
4,37,,,,,,,03 시책추진업무추진비,,"1,000",0,"1,000",6
4,38,,,,,,,본예산,,"1,000",0,"1,000",6
4,39,,,,,,,◎국제교류 현안업무추진,"1,000,000원","1,000",,,6
4,40,,,,,,301 일반보전금,,,"11,000","13,000","△2,000",5
4,41,,,,,,,08 민간인국외여비,,"3,000","3,000",0,6
4,42,,,,,,,본예산,,"3,000","3,000",0,6
4,43,,,,,,,◎국제교류 업무추진 여비(민간전문가 등),"3,000,000원","3,000",,,6
4,44,,,,,,,09 외빈초청여비,,"8,000","10,000","△2,000",6
4,45,,,,,,,본예산,,"8,000","10,000","△2,000",6
4,46,,,,,,,◎국제교류 외빈 초청,"8,000,000원","8,000",,,6
4,48,,재정 지원(일반공공행정/지방행정ㆍ재정지원),,,,,,,"424,630","385,230","39,400",1
5,10,,,,성과중심 예산 편성,,,,,"252,430","224,930","27,500",3
5,11,,,,,,201 일반운영비,,,"67,670","67,670",0,5
5,12,,,,,,,01 사무관리비,,"67,670","67,670",0,6
5,13,,,,,,,본예산,,"67,670","67,670",0,6
